No,Kode Efek,Nama Emiten,Nama Pemegang Rekening Efek,Nama Pemegang Saham,Nama Rekening Efek,Alamat,Alamat (Lanjutan),Kebangsaan,Domisili,Status (Lokal/Asing),Kepemilikan Per 19-MAY-2026,Col12,Col13,Kepemilikan Per 20-MAY-2026,Col15,Col16,Perubahan
,AADI,,"CITIBANK, N. A",,BOS LTD S/A PT ADARO STRATEGIC INVESTMENTS,"G5EDUNG MENARA KARYA LANTAI 23 , JL. HR. RASUNA SAID BLOK X-",KUNIGAN TIMUR SETIABUDI,,INDONESIA,L,"68,352,699",,,"68,352,699",,,0
,AADI,,PT. STOCKBIT SEKURITAS DIGITAL,,"Adaro Strategic Investments , PT",MENARA KARYA LT.23 JL. HR RASUNA SAID,BLOK.X-5 KAV.1-2 JAKARTA 12950,,INDONESIA,L,"986,784,234",,,"986,784,234",,,0
2,AADI,"ADARO ANDALAN INDONESIA Tbk, PT",PT. TRIMEGAH SEKURITAS INDONESIA TBK,ALAMTRI RESOURCES INDONESIA TBK PT,ALAMTRI RESOURCES INDONESIA TBK PT,GEDUNG MENARA KARYA LT. 23,JL. HR RASUNA SAID BLOK X5 KAV 1-2 KUNINGAN TIMUR,,INDONESIA,L,"1,197,023,942","1,197,023,942",15.37,"1,197,023,942","1,197,023,942",15.37,0
3,AADI,"ADARO ANDALAN INDONESIA Tbk, PT",BUT DEUTSCHE BANK AG,GARIBALDI THOHIR,GARIBALDI THOHIR,GD.PELURU BLOK E-139 RT 002/003,"KEBON BARU,TEBET,JAKSEL",INDONESIAN,INDONESIA,L,"200,501,253","454,011,607",5.83,"200,501,253","454,011,607",5.83,0
,AADI,,BUT DEUTSCHE BANK AG,,GARIBALDI THOHIR,GD.PELURU BLOK E-139 RT 002/003,"KEBON BARU,TEBET,JAKSEL",INDONESIAN,INDONESIA,L,"31,897,926",,,"31,897,926",,,0
,AADI,,PT. TRIMEGAH SEKURITAS INDONESIA TBK,,GARIBALDI THOHIR,GD PELURU BLOK E/139,KEBON BARU,INDONESIAN,INDONESIA,L,"19,060,594",,,"19,060,594",,,0
,AADI,,BUT DEUTSCHE BANK AG,,GARIBALDI THOHIR,GD.PELURU BLOK E-139 RT 002/003,"KEBON BARU,TEBET,JAKSEL",INDONESIAN,INDONESIA,L,"202,551,834",,,"202,551,834",,,0
4,ABBA,"MAHAKA MEDIA Tbk, PT",PT. TRIMEGAH SEKURITAS INDONESIA TBK,PT BEYOND MEDIA,PT BEYOND MEDIA,PLAZA ABDA LT.26,JL.JEND SUDIRMAN KAV 59,,INDONESIA,L,"1,592,831,618","1,592,831,618",40.47,"1,592,831,618","1,592,831,618",40.47,0
5,ABBA,"MAHAKA MEDIA Tbk, PT",PT. TRIMEGAH SEKURITAS INDONESIA TBK,SOLIC KREASI BARU PT,SOLIC KREASI BARU PT,MANGKULUHUR CITY TOWER ONE,LT. 18 SUITE 11,,INDONESIA,L,"342,042,122","542,042,122",13.77,"342,042,122","542,042,122",13.77,0
,ABBA,,PT PANCA GLOBAL SEKURITAS,,PT. SOLIC KREASI BARU,MANGKULUHUR CITY TOWER ONE LT. 18 SUITE 11,JL. GATOT SUBROTO KAV.1-3,,INDONESIA,L,"200,000,000",,,"200,000,000",,,0
6,ABDA,"ASURANSI BINA DANA ARTA Tbk, PT","MANDIRI SEKURITAS, PT",OONA INDONESIA PTE LTD,OONA INDONESIA PTE LTD,"3004,8 R62A2FFLES PLACE, #23-01, OXLEY @ RAFFLES SINGAPORE",,,SINGAPORE,A,"538,533,404","538,533,404",86.75,"538,532,904","538,532,904",86.75,-500
7,ABMM,ABM INVESTAMA Tbk. PT,"MANDIRI SEKURITAS, PT",PT TIARA MARGA TRAKINDO,PT.TIARA MARGA TRAKINDO,G00D1 TRMWT I LT I SUITE 101 & LT 18 SUITE 1801 JL CILANDAK KKO RT,005 KEL CILANDAK TIMUR KEC PASAR MINGGU,,INDONESIA,L,"1,474,573,133","1,474,573,133",53.56,"1,474,573,133","1,474,573,133",53.56,0
8,ABMM,ABM INVESTAMA Tbk. PT,BUT DEUTSCHE BANK AG,VALLE VERDE PTE LTD,UBS AG SINGAPORE S/A VALLE VERDE PTE. LTD. -2091145150,"6A TOH GUAN ROAD EAST,",SINGAPORE 608502,,SINGAPORE,A,"26,317,000","702,349,867",25.51,"26,317,000","702,349,867",25.51,0
,ABMM,,"MANDIRI SEKURITAS, PT",,VALLE VERDE PTE LTD,6A TOH GUAN ROAD EAST SINGAPORE,,,SINGAPORE,A,"676,032,867",,,"676,032,867",,,0
9,ABMM,ABM INVESTAMA Tbk. PT,"PANIN SEKURITAS Tbk, PT",DRS LO KHENG HONG,DRS. LO KHENG HONG,Jl. Pademangan IV No.23,RT 002/001 Kel. Pademangan Timur Kec. Pademangan,INDONESIAN,INDONESIA,L,"22,371,000","155,382,400",5.64,"22,371,000","155,382,400",5.64,0
,ABMM,,PT Anugerah Sekuritas Indonesia,,DRS.LO KHENG HONG,JL PADEMANGAN IV NO 23 RT 002 RW 001,KEL PADEMANGAN TIMUR KEC PADEMANGAN,INDONESIAN,INDONESIA,L,410,,,410,,,0
,ABMM,,PT Pluang Maju Sekuritas,,Drs.Lo Kheng Hong,Jl. Pademangan IV No.23,Kel. Pademangan Timur Kec. Pademangan,INDONESIAN,INDONESIA,L,200,,,200,,,0
,ABMM,,PT OCBC SEKURITAS INDONESIA,,DRS. LO KHENG HONG,JL. PADEMANGAN IV NO. 23 RT 002 RW 001,,INDONESIAN,INDONESIA,L,"441,4",,,"441,4",,,0
,ABMM,,"SINARMAS SEKURITAS, PT",,DRS. LO KHENG HONG,JTLIM. PUARDEMANGAN IV NO.23 RT: 002 RW:001 KEL:PADEMANGAN,KEC:PADEMANGAN,INDONESIAN,,L,"78,571,200",,,"78,571,200",,,0
,ABMM,,PT MNC SEKURITAS,,DRS.LO KHENG HONG,JL.PADEMANGAN IV NO.23 RT2 RW1,,INDONESIAN,INDONESIA,L,"12,178,200",,,"12,178,200",,,0
,ABMM,,PT RHB SEKURITAS INDONESIA,,DRS.LO KHENG HONG,JL PADEMANGAN IV NO 23 RT 002/RW 001,"PADEMANGAN TIMUR, PADEMANGAN",INDONESIAN,INDONESIA,L,"29,7",,,"29,7",,,0
,ABMM,,PT KOREA INVESTMENT AND SEKURITAS INDONESIA,,LO KHENG HONG,JL PADEMANGAN IV NO 23 RT 002 RW 001,,INDONESIAN,INDONESIA,L,"36,646,100",,,"36,646,100",,,0
,ABMM,,"MANDIRI SEKURITAS, PT",,LO KHENG HONG,JL PADEMANGAN IV NO 23,,INDONESIAN,INDONESIA,L,"2,960,000",,,"2,960,000",,,0
,ABMM,,"EKOKAPITAL SEKURITAS, PT",,"Lo Kheng Hong, Drs.",JL Pademangan IV No.23,RT.002 Rw.001 Pademangan Timur,INDONESIAN,,L,120,,,120,,,0
,ABMM,,PT BCA SEKURITAS,,LO KHENG HONG. DRS,Jl Pademangan IV No 23,RT 002 RW 001,INDONESIAN,INDONESIA,L,"1,454,800",,,"1,454,800",,,0
10,ACES,"ASPIRASI HIDUP INDONESIA Tbk, PT",PT BCA SEKURITAS,PT KAWAN LAMA SEJAHTERA,PT KAWAN LAMA SEJAHTERA,"GEDUNG KAWAN LAMA, JL PURI KENCANA NO 1",,,INDONESIA,L,"10,272,189,700","10,272,189,700",60.00,"10,272,189,700","10,272,189,700",60.00,0
11,ACRO,"SAMCRO HYOSUNG ADILESTARI Tbk, PT",PT KIWOOM SEKURITAS INDONESIA,TAE SUNG CHUNG,TAE SUNG CHUNG,"APT AMARTAPURA TOWER A, TOWER 12 DE, LIPPO KARAWACI",,SOUTH KOREAN,INDONESIA,L,"2,720,072,495","2,720,072,495",78.40,"2,720,072,495","2,720,072,495",78.40,0
12,ACST,"ACSET INDONUSA Tbk, PT","MANDIRI SEKURITAS, PT",PT. KARYA SUPRA PERKASA,PT. KARYA SUPRA PERKASA,JSLA.K RUANYGA BEKASI KM 22 RT 001/ RW 001 KEL. CAKUNG BARAT KEC.,,,INDONESIA,L,"16,115,027,968","16,115,027,968",91.17,"16,115,027,968","16,115,027,968",91.17,0
13,ADES,"AKASHA WIRA INTERNATIONAL Tbk, PT",PT INDO PREMIER SEKURITAS,WATER PARTNERS BOTTLING SA,WATER PARTNERS BOTTLING SA,"TREUREVA AG, CHAMERSTRASSE 172, 6300 ZUG",,,SWITZERLAND,A,"538,896,713","538,896,713",91.35,"538,896,713","538,896,713",91.35,0
14,ADMF,"ADIRA DINAMIKA MULTI FINANCE Tbk, PT","BANK DANAMON INDONESIA Tbk, PT","BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",PT. Bank Danamon Indonesia,Menara Bank Danamon,Jl. HR Rasuna Said Blok C No 10 Karet Setiabudi,,INDONESIA,L,"920,700,000","920,700,000",74.50,"920,700,000","920,700,000",74.50,0
15,ADMF,"ADIRA DINAMIKA MULTI FINANCE Tbk, PT","BANK DANAMON INDONESIA Tbk, PT",MUFG Bank Ltd,MUFG Bank Ltd,2-7-1 MARUNOUCHI CHIYODA-KU TOKYO 100-8388 JAPAN,,,JAPAN,A,"233,757,759","233,757,759",18.92,"233,757,759","233,757,759",18.92,0
16,ADMG,PT. POLYCHEM INDONESIA Tbk,PT EQUITY SEKURITAS INDONESIA,"GAJAH TUNGGAL, TbK. PT.","GAJAH TUNGGAL, TbK. PT.",WISMA HAYAM WURUK LT. 10,JL. HAYAM WURUK NO. 8,,INDONESIA,L,"994,150,000","994,150,000",25.56,"994,150,000","994,150,000",25.56,0
17,ADMG,PT. POLYCHEM INDONESIA Tbk,PT EQUITY SEKURITAS INDONESIA,PT SATYA MULIA GEMA GEMILANG,PT. SATYA MULIA GEMA GEMILANG,WISMA HAYAM WURUK,"JL HAYAM WURUK NO 8, JAKARTA PUSAT 10120",,INDONESIA,L,"405,356,593","405,356,593",10.42,"405,356,593","405,356,593",10.42,0
18,ADMG,PT. POLYCHEM INDONESIA Tbk,PT EQUITY SEKURITAS INDONESIA,PROVESTMENT LIMITED,PROVESTMENT LIMITED,OVERSEAS MANAGEMENT COMPANY TRUSTB(B.V.I) LTD,"P.O. BOX 3152, ROAD TOWN, TORTOLA",,"VIRGIN ISLANDS, BRITISH",A,"1,925,414,417","1,925,414,417",49.51,"1,925,414,417","1,925,414,417",49.51,0
19,ADMR,"ALAMTRI MINERALS INDONESIA Tbk, PT",PT CIPTADANA SEKURITAS ASIA,ALAMTRI RESOURCES INDONESIA TBK PT,"ALAMTRI RESOURCES INDONESIA TBK, PT",GD. MENARA KARYA LT.23,JL. HR. RASUNA SAID BLOK X-5 KAV.1-2,,INDONESIA,L,"34,933,166,100","34,933,166,100",85.45,"34,933,166,100","34,933,166,100",85.45,0
20,ADRO,"ALAMTRI RESOURCES INDONESIA Tbk, PT",PT Bank HSBC Indonesia,ADARO STRATEGIC INVESTMENTS,HSTSRBACT SEIGNIGCA IPNOVERSET BMREANNTCSH PRIVATE BANKING DIVISION-PT ADARO,"M2 EKNUANRINAG KAANRYA LT 23 FLOOR,JL HR RASUNA SAID BLOK X-5 KAV 1-","TIMUR SETIABUDI, SOUTH JAKARTA, INDONESIA, 12950",,INDONESIA,L,"1,493,000,000","14,045,425,500",47.79,"1,493,000,000","14,045,425,500",47.79,0
,ADRO,,BUT DEUTSCHE BANK AG,,UBS AG SG BRANCH TR AC CL PT ADARO STRA IN -2023904118,"MENARA KARYA, JL. HR RASUNA SAID BLOK X-5,","KAVELING 1-2,SUITE 23, JAKARTA 12950, INDONESIA",,INDONESIA,L,"150,000,000",,,"150,000,000",,,0
,ADRO,,BUT DEUTSCHE BANK AG,,U20B9S1 A14G5 S2P0O0RE S/A PT ADARO STRATEGIC INVESTMENTS -,"MENARA KARYA, JL. HR RASUNA SAID BLOK X-5,","KAVELING 1-2,SUITE 23, JAKARTA 12950, INDONESIA",,INDONESIA,L,"370,000,000",,,"370,000,000",,,0
,ADRO,,BUT DEUTSCHE BANK AG,,U20B2S3 A90G4 S1G20 BRANCH TRUST A/C PT ADARO STRATEGIC INV -,"MENARA KARYA, JL. HR RASUNA SAID BLOK X-5,","KAVELING 1-2,SUITE 23, JAKARTA 12950, INDONESIA",,INDONESIA,L,"2,248,167,000",,,"2,248,167,000",,,0
,ADRO,,PT. TRIMEGAH SEKURITAS INDONESIA TBK,,ADARO STRATEGIC INVESTMENTS PT,GEDUNG MENARA KARYA LT. 23,JL. HR RASUNA SAID BLOK X-5 KAV 1-2,,INDONESIA,L,"3,843,262,500",,,"3,843,262,500",,,0
,ADRO,,"CITIBANK, N. A",,BOS LTD S/A PT ADARO STRATEGIC INVESTMENTS,"G5EDUNG MENARA KARYA LANTAI 23 , JL. HR. RASUNA SAID BLOK X-",KUNIGAN TIMUR SETIABUDI,,INDONESIA,L,"300,000,000",,,"300,000,000",,,0
,ADRO,,PT BANK DBS INDONESIA,,D22B5S9 B12A)NK LTD SG S/A PT ADARO STRATEGIC INVESTMENTS (S-,GEDUNG MENARA KARYA LANTAI 23,JL. HR RASUNA SAID BLOK X-5 KAV 1-2,,INDONESIA,L,"650,000,000",,,"650,000,000",,,0
,ADRO,,PT. STOCKBIT SEKURITAS DIGITAL,,"Adaro Strategic Investments , PT",MENARA KARYA LT.23 JL. HR RASUNA SAID,BLOK.X-5 KAV.1-2 JAKARTA 12950,,INDONESIA,L,"4,330,996,000",,,"4,330,996,000",,,0
,ADRO,,"CITIBANK, N. A",,CINITVIEBSATNMKE HNOTNSG KONG S/A CPB SG A/C PT ADARO STRATEGIC,"G5EDUNG MENARA KARYA LANTAI 23 , JL. HR. RASUNA SAID BLOK X-",KUNIGAN TIMUR SETIABUDI,,INDONESIA,L,"300,000,000",,,"300,000,000",,,0
,ADRO,,"PT. BANK PERMATA, TBK",,PT ADARO STRATEGIC INVESTMENTS,GD MENARA KARYA LT. 23,JL. HR. RASUNA SAID BLOK X-5 KAV 1-2 SETIABUDI JAKARTA,,INDONESIA,L,"160,000,000",,,"160,000,000",,,0
,ADRO,,PT Bank HSBC Indonesia,,JPMCB NA RE-PT ADARO STRATEGIC INVESTMENTS,"M2 EKNUANRINAG KAANRYA LT 23 FLOOR,JL HR RASUNA SAID BLOK X-5 KAV 1-","TIMUR SETIABUDI, SOUTH JAKARTA, INDONESIA, 12950",,INDONESIA,L,"200,000,000",,,"200,000,000",,,0
21,ADRO,"ALAMTRI RESOURCES INDONESIA Tbk, PT",BUT DEUTSCHE BANK AG,GARIBALDI THOHIR,GARIBALDI THOHIR,GD.PELURU BLOK E-139 RT 002/003,"KEBON BARU,TEBET,JAKSEL",INDONESIAN,INDONESIA,L,"375,000,000","1,976,632,710",6.73,"375,000,000","1,976,632,710",6.73,0
,ADRO,,PT. TRIMEGAH SEKURITAS INDONESIA TBK,,GARIBALDI THOHIR,GD PELURU BLOK E/139,KEBON BARU,INDONESIAN,INDONESIA,L,"67,632,710",,,"67,632,710",,,0
,ADRO,,BUT DEUTSCHE BANK AG,,GARIBALDI THOHIR,GD.PELURU BLOK E-139 RT 002/003,"KEBON BARU,TEBET,JAKSEL",INDONESIAN,INDONESIA,L,"514,000,000",,,"514,000,000",,,0
,ADRO,,BUT DEUTSCHE BANK AG,,GARIBALDI THOHIR,GD.PELURU BLOK E-139 RT 002/003,"KEBON BARU,TEBET,JAKSEL",INDONESIAN,INDONESIA,L,"880,000,000",,,"880,000,000",,,0
,ADRO,,BUT DEUTSCHE BANK AG,,GARIBALDI THOHIR,GD.PELURU BLOK E-139 RT 002/003,"KEBON BARU,TEBET,JAKSEL",INDONESIAN,INDONESIA,L,"140,000,000",,,"140,000,000",,,0
22,AEGS,"ANUGERAH SPAREPARTS SEJAHTERA Tbk, PT",PT KB VALBURY SEKURITAS,J SUWANTA SINARYA DR,J SUWANTA SINARYA DR,BLOK CIKARANTI,RT.003 RW.003,INDONESIAN,INDONESIA,L,"555,649,980","555,649,980",55.23,"555,649,980","555,649,980",55.23,0
23,AGAR,"ASIA SEJAHTERA MINA Tbk, PT",PT PROFINDO SEKURITAS INDONESIA,PT. SINAR TERANG ASIA RAYA,PT. SINAR TERANG ASIA RAYA,KEJAWANPUTIH LAGUNA UTARA,C1/10 A,,INDONESIA,L,"299,927,300","299,927,300",29.99,"299,927,300","299,927,300",29.99,0
24,AGAR,"ASIA SEJAHTERA MINA Tbk, PT",PT PROFINDO SEKURITAS INDONESIA,PT. INDO KREASI PRATAMA,PT. INDO KREASI PRATAMA,JL DR MAKALIWE NO.16,,,INDONESIA,L,"450,000,000","450,000,000",45.00,"450,000,000","450,000,000",45.00,0
25,AGII,"SAMATOR INDO GAS Tbk, PT",PT. STOCKBIT SEKURITAS DIGITAL,SARATOGA INVESTAMA SEDAYA TBK PT,"Saratoga Investama Sedaya,PT",MENARA KARYA LT.15,,,INDONESIA,L,"259,366,140","306,666,000",10.00,"259,366,140","306,666,000",10.00,0
,AGII,,PT VERDHANA SEKURITAS INDONESIA,,PT Saratoga Investama Sedaya Tbk,Menara Karya Building 15th Floor,Jl HR Rasuna Said Block X-5 Kav 1-2,,INDONESIA,L,"18,880,400",,,"18,880,400",,,0
,AGII,,PT INDO PREMIER SEKURITAS,,"SARATOGA INVESTAMA SEDAYA, PT",JL. H.R.RASUNA SAID BLOK X-5 KAV.1-2 . .,GEDUNG MENARA KARYA LT.15,,INDONESIA,L,"28,419,460",,,"28,419,460",,,0
26,AGII,"SAMATOR INDO GAS Tbk, PT","MANDIRI SEKURITAS, PT",PT SAMATOR,PT SAMATOR,JL RAYA KEDUNG BARUK NO 25 - 28,RT 002 RW 004 KEDUNG BARUK,,INDONESIA,L,"709,549,020","709,549,020",23.14,"709,549,020","709,549,020",23.14,0
27,AGII,"SAMATOR INDO GAS Tbk, PT","BNI SEKURITAS, PT",MATRIX COMPANY LIMITED,MATRIX COMPANY LIMITED,22 GRENVILLE STREET,ST HELIER,,JERSEY,A,"986,967,780","986,967,780",32.18,"986,967,780","986,967,780",32.18,0
28,AGRO,"BANK RAYA INDONESIA Tbk, PT","BANK RAKYAT INDONESIA (PERSERO), PT","PT BANK RAKYAT INDONESIA (PERSERO), TBK",PMTA NBAAGNEKM REANKTY ADTIV INISDIOONNESIA (PERSERO) TBK - SUBSIDIARY,JL. JEND SUDIRMAN 44-46 UP DIVISI ALM,,,INDONESIA,L,"21,239,760,958","21,239,760,958",85.85,"21,239,760,958","21,239,760,958",85.85,0
29,AGRS,"BANK IBK INDONESIA Tbk, PT",PT KIWOOM SEKURITAS INDONESIA,INDUSTRIAL BANK OF KOREA,INDUSTRIAL BANK OF KOREA,"79, EULJIRO, JUNG-GU, SEOUL, KOREA SELATAN",,,"KOREA, REPUBLIC OF",A,"4,701,453,340","4,701,453,340",9.82,"4,701,453,340","4,701,453,340",9.82,0
30,AHAP,"ASURANSI HARTA AMAN PRATAMA Tbk, PT","MANDIRI SEKURITAS, PT",SENDRA GUNAWAN,SENDRA GUNAWAN,"JPLA DKHANAIGR IBLA ARNAWTAR NO 2, RT/RW 003/002, BELAKANG TANGSI,",,INDONESIAN,INDONESIA,L,"566,781,066","566,781,066",11.57,"566,781,066","566,781,066",11.57,0
31,AHAP,"ASURANSI HARTA AMAN PRATAMA Tbk, PT","BANK CENTRAL ASIA Tbk, PT",PT ASURANSI CENTRAL ASIA,PT. ASURANSI CENTRAL ASIA,WISMA ASIA I LT 10 12 15,JL LETJEN S PARMAN KAV 79,,INDONESIA,L,"3,066,343,009","3,066,343,009",62.58,"3,066,343,009","3,066,343,009",62.58,0
32,AIMS,PT. ARTHA MAHIYA INVESTAMA Tbk,PT KB VALBURY SEKURITAS,PT DELTA WIBAWA BERSAMA,"DELTA WIBAWA BERSAMA , PT",JALAN KEBAGUSAN I KAVLING 6,RT.002 RW.001,,INDONESIA,L,"68,493,151","68,493,151",31.13,"68,493,151","68,493,151",31.13,0
33,AIMS,PT. ARTHA MAHIYA INVESTAMA Tbk,PT KAF SEKURITAS INDONESIA,PT AIMS INDO INVESTAMA,PT AIMS INDO INVESTAMA,"JL. CIPAKU I NO. 3, PETOGOGAN, KEBAYORAN BARU",,,INDONESIA,L,"68,556,991","68,556,991",31.16,"68,556,991","68,556,991",31.16,0
34,AIMS,PT. ARTHA MAHIYA INVESTAMA Tbk,PT CGS International Sekuritas Indonesia,IR EFENDI LEMAN,"EFENDI LEMAN, IR",TMN DUTA MAS BLK E.9/19,KEL. WIJAYA KUSUMA,INDONESIAN,INDONESIA,L,"11,155,000","11,155,000",5.07,"11,155,000","11,155,000",5.07,0
35,AISA,"FKS FOOD SEJAHTERA Tbk, PT",PT CGS International Sekuritas Indonesia,PT. PANGAN SEJAHTERA INVESTAMA,"PANGAN SEJAHTERA INVESTAMA, PT",SAMPOERNA STRATEGIC SQUARE,NORTH TOWER LT 7,,INDONESIA,L,"5,450,275,500","5,450,275,500",58.53,"5,450,275,500","5,450,275,500",58.53,0
36,AISA,"FKS FOOD SEJAHTERA Tbk, PT","SINARMAS SEKURITAS, PT",PT ASTA ASKARA SENTOSA,PT ASTA ASKARA SENTOSA,"SJEANMDPEOREARLNA STRATEGIC SQUARE, NORTH TOWER LANTAI 7, JL.","SUDIRMAN KAV. 45-46KEL. KARET SEMANGGI, KEC. SETIABUDI",,INDONESIA,L,"1,441,374,472","1,441,374,472",15.48,"1,441,374,472","1,441,374,472",15.48,0
37,AKKU,"ANUGERAH KAGUM KARYA UTAMA Tbk, PT",PT. KGI Sekuritas Indonesia,PT BINTANG BERSINAR CEMERLANG,PT BINTANG BERSINAR CEMERLANG,JL CIHAMPELAS NO 156 RT 005 RW 006,,,INDONESIA,L,"721,187,100","721,187,100",11.18,"721,187,100","721,187,100",11.18,0
38,AKKU,"ANUGERAH KAGUM KARYA UTAMA Tbk, PT",PT. KGI Sekuritas Indonesia,PT GEMA BUSANA RAYA,PT GEMA BUSANA RAYA,JL CIHAMPELAS NO 166 RT 006 RW 005,,,INDONESIA,L,"394,611,900","394,611,900",6.12,"394,611,900","394,611,900",6.12,0
39,AKKU,"ANUGERAH KAGUM KARYA UTAMA Tbk, PT",PT NH KORINDO SEKURITAS INDONESIA,PT. RENALDIJAYA EKAINTI,PT. RENALDIJAYA EKAINTI,JL. CIHAMPELAS NO.166-174 KEL.CIPAGANTI KEC.COBLONG,,,INDONESIA,L,"1,036,756,100","1,036,756,100",16.08,"1,036,756,100","1,036,756,100",16.08,0
40,AKKU,"ANUGERAH KAGUM KARYA UTAMA Tbk, PT",PT NH KORINDO SEKURITAS INDONESIA,PT. KOREK API GUNA MANDIRI,PT. KOREK API GUNA MANDIRI,JL. CIHAMPELAS NO.180 KEL.CIPAGANTI,KEC.COBLONG,,INDONESIA,L,"358,795,300","358,795,300",5.56,"358,795,300","358,795,300",5.56,0
41,AKPI,"ARGHA KARYA PRIMA INDUSTRY Tbk, PT",PT SEMESTA INDOVEST SEKURITAS,PT PRISMATAMA NUGRAHA,PT. PRISMATAMA NUGRAHA,JL. JEND SUDIRMAN. KAV 70-71. WISMA INDOCEMENT LT6,"SETIABUDI, SETIABUDI",,INDONESIA,L,"7,143,823","37,009,340",6.04,"7,143,823","37,009,340",6.04,0
,AKPI,,"SAMUEL SEKURITAS INDONESIA, PT",,PRISMATAMA NUGRAHA PT,WISMA INDOCEMENT LT.6 JL. JEND. SUDIRMAN KAV. 70-71,KEL.SETIABUDI KEC. SETIABUDI,,INDONESIA,L,"28,252,000",,,"28,252,000",,,0
,AKPI,,PT SEMESTA INDOVEST SEKURITAS,,PT. PRISMATAMA NUGRAHA,JL. JEND SUDIRMAN. KAV 70-71. WISMA INDOCEMENT LT6,"SETIABUDI, SETIABUDI",,INDONESIA,L,"1,613,517",,,"1,613,517",,,0
42,AKPI,"ARGHA KARYA PRIMA INDUSTRY Tbk, PT","SAMUEL SEKURITAS INDONESIA, PT",PT. TIARA INTIMAHKOTA,TIARA INTIMAHKOTA PT,WISMA INDOCEMENT LT.6,JL. JEND. SUDIRMAN KAV. 70-71,,INDONESIA,L,"79,241,506","80,045,006",13.07,"79,241,506","80,045,006",13.07,0
,AKPI,,PT SEMESTA INDOVEST SEKURITAS,,PT. TIARA INTIMAHKOTA,WISMA INDOCEMENT LT6.,JL. JEND SUDIRMAN KAV 70-71. SETIABUDI,,INDONESIA,L,"803,5",,,"803,5",,,0
